Date,MELI,GDOT,ENV,FLT,XROLF,QTWO,VIRT,SHOP,PYPL,SQ,BL,RDFN,PAGS,ADYEY,AVLR,EVER,FCH.L,STNE,SEZNL,BILL,LMND,NCNO,DCT,LSPD,ROOT,LU,UPST,OPEN,CLOV,AFRM,BTRS,MILE,LDI,OSCR,OLO,COMP,ALKT,COIN,FLYW,PAY,SOFI,DLO,MQ,KPLT,BHG,PAYO,INTA,WPLCF,BLND,DOMA,HOOD,HIPO,TOST,ML,RELY,AVDX,BKKT,NRDS,EXFY,NU,DAVE
03/31/2015,"9.6,Greater than 40%,21%","nan,Less than 20%,15%","5.3,Between 20%40%,34%","14.1,Less than 20%,43%","35.5,Greater than 40%,77%","8.6,Between 20%40%,42%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,62%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,145%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,72%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
06/30/2015,"10.5,Greater than 40%,21%","nan,Less than 20%,17%","3.7,Between 20%40%,25%","12.8,Less than 20%,48%","15.6,Greater than 40%,75%","10.8,Between 20%40%,42%","nan,Between 20%40%,nan","21.0,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,62%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,145%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,72%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
09/30/2015,"6.5,Greater than 40%,19%","nan,Less than 20%,15%","2.6,Between 20%40%,22%","10.5,Less than 20%,53%","13.0,Greater than 40%,74%","8.9,Between 20%40%,38%","nan,Between 20%40%,nan","18.4,Greater than 40%,nan","3.9,Less than 20%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,145%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,72%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
12/31/2015,"7.9,Greater than 40%,17%","nan,Less than 20%,13%","3.0,Between 20%40%,21%","9.6,Less than 20%,42%","15.7,Greater than 40%,70%","9.0,Between 20%40%,38%","nan,Between 20%40%,11%","10.5,Greater than 40%,95%","4.5,Less than 20%,15%","4.1,Greater than 40%,49%","nan,Between 20%40%,62%","nan,Greater than 40%,49%","nan,Greater than 40%,105%","nan,Greater than 40%,115%","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,144%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,72%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
03/31/2016,"7.9,Greater than 40%,12%","nan,Less than 20%,2%","3.3,Between 20%40%,24%","9.6,Less than 20%,25%","11.4,Greater than 40%,67%","7.6,Between 20%40%,37%","nan,Between 20%40%,2%","10.4,Greater than 40%,95%","4.7,Less than 20%,16%","3.7,Greater than 40%,53%","nan,Between 20%40%,nan","nan,Greater than 40%,49%","nan,Greater than 40%,105%","nan,Greater than 40%,115%","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,144%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,72%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
06/30/2016,"9.3,Greater than 40%,16%","nan,Less than 20%,1%","3.7,Between 20%40%,29%","9.2,Less than 20%,15%","11.8,Greater than 40%,60%","8.4,Between 20%40%,37%","nan,Between 20%40%,4%","10.0,Greater than 40%,95%","4.1,Less than 20%,16%","1.9,Greater than 40%,47%","nan,Between 20%40%,nan","nan,Greater than 40%,49%","nan,Greater than 40%,105%","nan,Greater than 40%,115%","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,144%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,72%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
09/30/2016,"11.4,Greater than 40%,22%","nan,Less than 20%,1%","3.7,Between 20%40%,36%","10.7,Less than 20%,6%","12.6,Greater than 40%,55%","8.1,Between 20%40%,38%","nan,Between 20%40%,17%","12.6,Greater than 40%,93%","4.3,Less than 20%,17%","2.3,Greater than 40%,43%","nan,Between 20%40%,49%","nan,Greater than 40%,49%","nan,Greater than 40%,105%","nan,Greater than 40%,115%","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,144%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,72%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
12/31/2016,"8.8,Greater than 40%,30%","nan,Less than 20%,3%","3.2,Between 20%40%,37%","9.5,Less than 20%,8%","9.1,Greater than 40%,48%","7.7,Between 20%40%,38%","nan,Between 20%40%,14%","10.4,Greater than 40%,90%","4.0,Less than 20%,17%","2.6,Greater than 40%,35%","13.0,Between 20%40%,53%","nan,Greater than 40%,43%","nan,Greater than 40%,71%","nan,Greater than 40%,99%","nan,Between 20%40%,36%","nan,Between 20%40%,nan","nan,Greater than 40%,59%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,72%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
03/31/2017,"10.9,Greater than 40%,45%","nan,Less than 20%,8%","2.8,Between 20%40%,32%","9.4,Less than 20%,14%","9.8,Greater than 40%,43%","8.7,Between 20%40%,36%","nan,Between 20%40%,17%","14.8,Greater than 40%,85%","4.3,Less than 20%,17%","3.4,Greater than 40%,28%","11.5,Between 20%40%,46%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,99%","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,59%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,39%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,72%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
06/30/2017,"11.3,Greater than 40%,47%","nan,Less than 20%,14%","3.3,Between 20%40%,27%","8.5,Less than 20%,20%","11.9,Greater than 40%,nan","8.9,Between 20%40%,35%","nan,Between 20%40%,22%","18.2,Greater than 40%,80%","5.4,Less than 20%,18%","4.6,Greater than 40%,25%","12.8,Between 20%40%,45%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,99%","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,59%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,39%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,72%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
09/30/2017,"10.4,Greater than 40%,45%","nan,Less than 20%,20%","3.9,Between 20%40%,21%","8.5,Less than 20%,23%","14.1,Greater than 40%,37%","9.5,Between 20%40%,33%","nan,Between 20%40%,4%","20.8,Greater than 40%,76%","6.2,Less than 20%,18%","5.5,Greater than 40%,26%","11.3,Between 20%40%,43%","8.9,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,99%","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,59%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,39%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,72%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
12/31/2017,"11.2,Greater than 40%,44%","nan,Less than 20%,25%","3.7,Between 20%40%,18%","9.7,Less than 20%,23%","12.1,Greater than 40%,38%","7.8,Between 20%40%,29%","nan,Between 20%40%,25%","15.8,Greater than 40%,73%","6.8,Less than 20%,21%","6.3,Greater than 40%,30%","10.0,Between 20%40%,37%","6.9,Greater than 40%,38%","nan,Greater than 40%,122%","nan,Greater than 40%,54%","nan,Between 20%40%,27%","nan,Between 20%40%,3%","nan,Greater than 40%,86%","nan,Greater than 40%,75%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,39%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Between 20%40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
